name,POI,geometry
,Education,POINT (8240228 3667425)
,Education,POINT (8239673 3667326)
,Education,POINT (8239440 3666733)
,Education,POINT (8240285 3666181)
,Education,POINT (8240285 3666180)
,Education,POINT (8244238 3672794)
,Education,POINT (8244279 3672781)
,Education,POINT (8244337 3672724)
,Education,POINT (8244359 3672701)
,Education,POINT (8245300 3672222)
,Education,POINT (8244847 3672213)
,Education,POINT (8245223 3672122)
,Education,POINT (8245203 3672095)
,Education,POINT (8245532 3672083)
,Education,POINT (8245540 3672077)
,Education,POINT (8244491 3672075)
,Education,POINT (8244490 3672075)
,Education,POINT (8244491 3672074)
,Education,POINT (8245281 3672066)
,Education,POINT (8245200 3672039)
,Education,POINT (8245015 3671993)
,Education,POINT (8244615 3671988)
,Education,POINT (8245181 3671978)
,Education,POINT (8245716 3671943)
,Education,POINT (8245558 3671942)
,Education,POINT (8245198 3671941)
,Education,POINT (8245461 3671914)
,Education,POINT (8245641 3671871)
,Education,POINT (8245238 3671852)
,Education,POINT (8245253 3671815)
,Education,POINT (8245339 3671773)
,Education,POINT (8245269 3671737)
,Education,POINT (8245366 3671629)
,Education,POINT (8245183 3671623)
,Education,POINT (8244943 3671616)
,Education,POINT (8244942 3671616)
,Education,POINT (8297733 3688280)
,Education,POINT (8298118 3689943)
,Education,POINT (8298285 3689897)
,Education,POINT (8297939 3689813)
,Education,POINT (8297740 3691912)
,Education,POINT (8297931 3699356)
,Education,POINT (8297792 3702094)
,Education,POINT (8298194 3702087)
,Education,POINT (8297987 3701776)
,Education,POINT (8298048 3701660)
,Education,POINT (8298017 3701497)
,Education,POINT (8298428 3701360)
,Education,POINT (8298345 3701355)
,Education,POINT (8298304 3701227)
,Education,POINT (8298855 3700680)
,Education,POINT (8298529 3706646)
,Education,POINT (8298767 3711343)
,Education,POINT (8297994 3714331)
,Education,POINT (8299010 3721335)
,Education,POINT (8300415 3674022)
,Education,POINT (8244946 3679162)
,Education,POINT (8301221 3683913)
,Education,POINT (8301285 3683845)
,Education,POINT (8301240 3683596)
,Education,POINT (8301312 3683245)
,Education,POINT (8300842 3690638)
,Education,POINT (8301202 3690616)
,Education,POINT (8301158 3690603)
,Education,POINT (8301157 3690603)
,Education,POINT (8300387 3690402)
,Education,POINT (8300388 3690402)
,Education,POINT (8300224 3690309)
,Education,POINT (8300794 3690284)
,Education,POINT (8300794 3690283)
,Education,POINT (8300907 3690272)
,Education,POINT (8300302 3690081)
,Education,POINT (8300302 3690080)
,Education,POINT (8300490 3689731)
,Education,POINT (8301105 3690947)
,Education,POINT (8300677 3690775)
,Education,POINT (8301204 3690774)
,Education,POINT (8300781 3694413)
,Education,POINT (8244661 3679405)
,Education,POINT (8244703 3679348)
,Education,POINT (8244711 3679331)
,Education,POINT (8244589 3679239)
,Education,POINT (8300085 3697900)
,Education,POINT (8300085 3697899)
,Education,POINT (8300230 3698568)
,Education,POINT (8300358 3698376)
,Education,POINT (8301242 3703702)
,Education,POINT (8301020 3703484)
,Education,POINT (8301021 3703484)
,Education,POINT (8300815 3706505)
,Education,POINT (8300787 3706471)
,Education,POINT (8300650 3705954)
,Education,POINT (8300434 3711325)
,Education,POINT (8300963 3710625)
,Education,POINT (8300693 3710582)
,Education,POINT (8301260 3710503)
,Education,POINT (8299783 3710228)
,Education,POINT (8299784 3710228)
,Education,POINT (8299825 3710180)
,Education,POINT (8299825 3710179)
,Education,POINT (8301052 3714248)
,Education,POINT (8300456 3716337)
,Education,POINT (8301153 3719287)
,Education,POINT (8300228 3719063)
,Education,POINT (8300886 3719757)
,Education,POINT (8301162 3719551)
,Education,POINT (8300959 3719542)
,Education,POINT (8301162 3725363)
,Education,POINT (8302458 3665934)
,Education,POINT (8302791 3668493)
,Education,POINT (8302959 3670524)
,Education,POINT (8244947 3684615)
,Education,POINT (8301906 3673284)
,Education,POINT (8302407 3696857)
,Education,POINT (8301694 3698853)
,Education,POINT (8302597 3711757)
,Education,POINT (8302205 3715908)
,Education,POINT (8302209 3715830)
,Education,POINT (8303239 3719108)
,Education,POINT (8302714 3718818)
,Education,POINT (8302045 3721174)
,Education,POINT (8302046 3721174)
,Education,POINT (8303279 3719863)
,Education,POINT (8303237 3719856)
,Education,POINT (8302862 3723862)
,Education,POINT (8303600 3668755)
,Education,POINT (8303601 3668755)
,Education,POINT (8304927 3673292)
,Education,POINT (8304927 3673291)
,Education,POINT (8304937 3672237)
,Education,POINT (8304871 3671622)
,Education,POINT (8304864 3671603)
,Education,POINT (8304863 3671603)
,Education,POINT (8305076 3676561)
,Education,POINT (8305109 3676322)
,Education,POINT (8303668 3678151)
,Education,POINT (8303736 3677984)
,Education,POINT (8305091 3682731)
,Education,POINT (8239681 3686721)
,Education,POINT (8239681 3686720)
,Education,POINT (8239815 3686401)
,Education,POINT (8245864 3691934)
,Education,POINT (8244464 3691838)
,Education,POINT (8244204 3691745)
,Education,POINT (8244213 3691726)
,Education,POINT (8245484 3691563)
,Education,POINT (8245485 3691563)
,Education,POINT (8244440 3691359)
,Education,POINT (8244807 3690909)
,Education,POINT (8244775 3690844)
,Education,POINT (8305180 3689514)
,Education,POINT (8304614 3689247)
,Education,POINT (8304731 3689085)
,Education,POINT (8305026 3691548)
,Education,POINT (8305043 3691505)
,Education,POINT (8305064 3691477)
,Education,POINT (8304022 3700097)
,Education,POINT (8245491 3694013)
,Education,POINT (8304140 3711542)
,Education,POINT (8304409 3711239)
,Education,POINT (8304536 3710434)
,Education,POINT (8304961 3713266)
,Education,POINT (8245087 3695071)
,Education,POINT (8245029 3695030)
,Education,POINT (8245029 3695029)
,Education,POINT (8245079 3695008)
,Education,POINT (8245137 3694974)
,Education,POINT (8304339 3726835)
,Education,POINT (8306507 3676174)
,Education,POINT (8306508 3676174)
,Education,POINT (8306594 3676010)
,Education,POINT (8307105 3678811)
,Education,POINT (8306181 3684794)
,Education,POINT (8306181 3684793)
,Education,POINT (8305905 3684743)
,Education,POINT (8305896 3684602)
,Education,POINT (8306749 3683741)
,Education,POINT (8306424 3685867)
,Education,POINT (8306384 3688711)
,Education,POINT (8306253 3688479)
,Education,POINT (8306937 3689580)
,Education,POINT (8306937 3689579)
,Education,POINT (8307104 3689557)
,Education,POINT (8306836 3689445)
,Education,POINT (8306837 3689445)
,Education,POINT (8305705 3691110)
,Education,POINT (8305706 3691110)
,Education,POINT (8306462 3694119)
,Education,POINT (8307156 3693930)
,Education,POINT (8305486 3692949)
,Education,POINT (8305303 3692842)
,Education,POINT (8305352 3692785)
,Education,POINT (8305352 3692784)
,Education,POINT (8306226 3695019)
,Education,POINT (8306280 3700044)
,Education,POINT (8305339 3711656)
,Education,POINT (8305340 3711656)
,Education,POINT (8307079 3710362)
,Education,POINT (8307145 3712176)
,Education,POINT (8305816 3712138)
,Education,POINT (8305588 3715261)
,Education,POINT (8305339 3716311)
,Education,POINT (8305405 3716287)
,Education,POINT (8305634 3720735)
,Education,POINT (8305635 3720735)
,Education,POINT (8305712 3724945)
,Education,POINT (8305937 3724443)
,Education,POINT (8307492 3667060)
,Education,POINT (8307492 3667059)
,Education,POINT (8309003 3666929)
,Education,POINT (8308898 3666724)
,Education,POINT (8308620 3669679)
,Education,POINT (8307184 3678817)
,Education,POINT (8307184 3678816)
,Education,POINT (8307569 3678764)
,Education,POINT (8307597 3678629)
,Education,POINT (8244622 3703980)
,Education,POINT (8308597 3682016)
,Education,POINT (8308597 3682015)
,Education,POINT (8307215 3684006)
,Education,POINT (8307216 3684006)
,Education,POINT (8307299 3683924)
,Education,POINT (8307299 3683923)
,Education,POINT (8308665 3686144)
,Education,POINT (8308993 3685773)
,Education,POINT (8308638 3685579)
,Education,POINT (8307171 3689508)
,Education,POINT (8308742 3696358)
,Education,POINT (8308200 3697217)
,Education,POINT (8307322 3702826)
,Education,POINT (8308253 3706540)
,Education,POINT (8308253 3706539)
,Education,POINT (8308036 3706201)
,Education,POINT (8308949 3712829)
,Education,POINT (8307447 3712479)
,Education,POINT (8308975 3712076)
,Education,POINT (8308565 3717022)
,Education,POINT (8308599 3716153)
,Education,POINT (8307938 3719272)
,Education,POINT (8308481 3718967)
,Education,POINT (8308535 3718923)
,Education,POINT (8307858 3722084)
,Education,POINT (8308642 3724339)
,Education,POINT (8307907 3723893)
,Education,POINT (8307478 3726216)
,Education,POINT (8307355 3726141)
,Education,POINT (8307354 3726141)
,Education,POINT (8307526 3726129)
,Education,POINT (8308036 3726106)
,Education,POINT (8308707 3725808)
,Education,POINT (8310485 3667573)
,Education,POINT (8309900 3669512)
,Education,POINT (8309900 3669511)
,Education,POINT (8309614 3669496)
,Education,POINT (8310473 3667860)
,Education,POINT (8310718 3670323)
,Education,POINT (8310749 3670318)
,Education,POINT (8310786 3671903)
,Education,POINT (8310786 3671902)
,Education,POINT (8245954 3709726)
,Education,POINT (8245957 3709617)
,Education,POINT (8310655 3680995)
,Education,POINT (8310170 3679302)
,Education,POINT (8310841 3689950)
,Education,POINT (8310865 3689886)
,Education,POINT (8310865 3689885)
,Education,POINT (8310812 3689881)
,Education,POINT (8310866 3689807)
,Education,POINT (8245347 3710513)
,Education,POINT (8310201 3695803)
,Education,POINT (8310556 3697601)
,Education,POINT (8309202 3701934)
,Education,POINT (8310721 3702147)
,Education,POINT (8310139 3716660)
,Education,POINT (8310820 3720795)
,Education,POINT (8310821 3720795)
,Education,POINT (8310820 3720794)
,Education,POINT (8310821 3720794)
,Education,POINT (8310191 3719631)
,Education,POINT (8309211 3719536)
,Education,POINT (8309212 3719536)
,Education,POINT (8310853 3722602)
,Education,POINT (8310853 3722601)
,Education,POINT (8310801 3722323)
,Education,POINT (8310817 3722123)
,Education,POINT (8310198 3721229)
,Education,POINT (8310611 3724887)
,Education,POINT (8310611 3724886)
,Education,POINT (8310815 3726590)
,Education,POINT (8309760 3725353)
,Education,POINT (8245890 3714755)
,Education,POINT (8245890 3714754)
,Education,POINT (8245855 3718355)
,Education,POINT (8244794 3723105)
,Education,POINT (8245031 3723077)
,Education,POINT (8245216 3722939)
,Education,POINT (8244977 3722906)
,Education,POINT (8245977 3722816)
,Education,POINT (8245894 3722709)
,Education,POINT (8244674 3722675)
,Education,POINT (8244643 3722589)
,Education,POINT (8245244 3722575)
,Education,POINT (8244817 3722462)
,Education,POINT (8244818 3722462)
,Education,POINT (8244572 3722276)
,Education,POINT (8245098 3722215)
,Education,POINT (8245098 3721766)
,Education,POINT (8244914 3725028)
,Education,POINT (8245424 3724312)
,Education,POINT (8245423 3724311)
,Education,POINT (8245424 3724311)
,Education,POINT (8244886 3723494)
,Education,POINT (8244394 3726696)
,Education,POINT (8245136 3725331)
,Education,POINT (8245136 3725330)
,Education,POINT (8245149 3725275)
,Education,POINT (8246376 3673161)
,Education,POINT (8246376 3673160)
,Education,POINT (8246376 3673116)
,Education,POINT (8246401 3672923)
,Education,POINT (8246255 3672249)
,Education,POINT (8246147 3672029)
,Education,POINT (8246859 3671974)
,Education,POINT (8246123 3671754)
,Education,POINT (8246949 3671601)
,Education,POINT (8247357 3675341)
,Education,POINT (8247395 3675294)
,Education,POINT (8247395 3675293)
,Education,POINT (8247026 3676526)
,Education,POINT (8247072 3676188)
,Education,POINT (8247072 3676187)
,Education,POINT (8247617 3677756)
,Education,POINT (8246367 3684253)
,Education,POINT (8247350 3689528)
,Education,POINT (8247716 3692395)
,Education,POINT (8246357 3694853)
,Education,POINT (8247438 3698251)
,Education,POINT (8247912 3697876)
,Education,POINT (8247917 3700046)
,Education,POINT (8247360 3700233)
,Education,POINT (8238973 3693377)
,Education,POINT (8238973 3693376)
,Education,POINT (8238887 3692880)
,Education,POINT (8246883 3716249)
,Education,POINT (8246573 3720470)
,Education,POINT (8246605 3720270)
,Education,POINT (8246605 3720269)
,Education,POINT (8246588 3720244)
,Education,POINT (8246722 3719706)
,Education,POINT (8247831 3722744)
,Education,POINT (8247001 3722241)
,Education,POINT (8246979 3721846)
,Education,POINT (8246884 3721719)
,Education,POINT (8246599 3721339)
,Education,POINT (8247696 3724721)
,Education,POINT (8246123 3724530)
,Education,POINT (8246184 3724517)
,Education,POINT (8239272 3696015)
,Education,POINT (8249171 3667486)
,Education,POINT (8248495 3667475)
,Education,POINT (8248991 3667437)
,Education,POINT (8249314 3667317)
,Education,POINT (8247960 3668932)
,Education,POINT (8248348 3668127)
,Education,POINT (8248559 3668031)
,Education,POINT (8248918 3668020)
,Education,POINT (8248798 3672712)
,Education,POINT (8249169 3675264)
,Education,POINT (8248670 3673733)
,Education,POINT (8248670 3673732)
,Education,POINT (8249348 3676921)
,Education,POINT (8249508 3675839)
,Education,POINT (8248844 3675834)
,Education,POINT (8249777 3675796)
,Education,POINT (8249778 3675796)
,Education,POINT (8249068 3675778)
,Education,POINT (8249537 3675746)
,Education,POINT (8248927 3675589)
,Education,POINT (8249031 3675540)
,Education,POINT (8248490 3675491)
,Education,POINT (8248481 3683682)
,Education,POINT (8248691 3683608)
,Education,POINT (8248691 3683607)
,Education,POINT (8248548 3683240)
,Education,POINT (8248582 3692535)
,Education,POINT (8248582 3692534)
,Education,POINT (8248098 3692511)
,Education,POINT (8248375 3692322)
,Education,POINT (8249232 3694395)
,Education,POINT (8249232 3694394)
,Education,POINT (8249153 3694375)
,Education,POINT (8249154 3694375)
,Education,POINT (8249081 3694344)
,Education,POINT (8249651 3693938)
,Education,POINT (8248979 3693904)
,Education,POINT (8249632 3693859)
,Education,POINT (8249437 3693837)
,Education,POINT (8249263 3693771)
,Education,POINT (8249462 3693720)
,Education,POINT (8248436 3693587)
,Education,POINT (8248837 3693532)
,Education,POINT (8248885 3693526)
,Education,POINT (8248932 3693470)
,Education,POINT (8249243 3693454)
,Education,POINT (8249072 3693446)
,Education,POINT (8249124 3693446)
,Education,POINT (8249124 3693445)
,Education,POINT (8248669 3693443)
,Education,POINT (8248669 3693442)
,Education,POINT (8248893 3693442)
,Education,POINT (8248866 3693389)
,Education,POINT (8248180 3693347)
,Education,POINT (8249025 3693324)
,Education,POINT (8249077 3693304)
,Education,POINT (8249129 3693230)
,Education,POINT (8249338 3693178)
,Education,POINT (8248845 3693164)
,Education,POINT (8249042 3693164)
,Education,POINT (8248582 3693137)
,Education,POINT (8248867 3693108)
,Education,POINT (8248700 3693105)
,Education,POINT (8248701 3693105)
,Education,POINT (8248317 3693083)
,Education,POINT (8249157 3693057)
,Education,POINT (8248869 3693041)
,Education,POINT (8249194 3692999)
,Education,POINT (8249194 3692998)
,Education,POINT (8248607 3692977)
,Education,POINT (8248970 3692975)
,Education,POINT (8248971 3692975)
,Education,POINT (8248673 3692935)
,Education,POINT (8248638 3692926)
,Education,POINT (8248554 3692909)
,Education,POINT (8248881 3692832)
,Education,POINT (8249088 3692820)
,Education,POINT (8248948 3692797)
,Education,POINT (8248970 3692732)
,Education,POINT (8248977 3692712)
,Education,POINT (8248243 3692701)
,Education,POINT (8248164 3692655)
,Education,POINT (8248628 3692616)
,Education,POINT (8248628 3692615)
,Education,POINT (8248536 3692599)
,Education,POINT (8248536 3692598)
,Education,POINT (8249041 3694559)
,Education,POINT (8248161 3697936)
,Education,POINT (8248257 3698435)
,Education,POINT (8249681 3701757)
,Education,POINT (8239524 3700003)
,Education,POINT (8248060 3710512)
,Education,POINT (8248922 3721122)
,Education,POINT (8248446 3721042)
,Education,POINT (8238522 3701424)
,Education,POINT (8249561 3722803)
,Education,POINT (8249119 3721822)
,Education,POINT (8248663 3721402)
,Education,POINT (8249755 3724066)
,Education,POINT (8249635 3723996)
,Education,POINT (8251440 3667411)
,Education,POINT (8251600 3667015)
,Education,POINT (8251600 3667014)
,Education,POINT (8250188 3669390)
,Education,POINT (8250115 3675978)
,Education,POINT (8251535 3679010)
,Education,POINT (8251676 3678771)
,Education,POINT (8251676 3678770)
,Education,POINT (8250052 3677385)
,Education,POINT (8239843 3668805)
,Education,POINT (8251130 3679224)
,Education,POINT (8250581 3694406)
,Education,POINT (8250249 3694342)
,Education,POINT (8251249 3695961)
,Education,POINT (8250587 3694564)
,Education,POINT (8250566 3694544)
,Education,POINT (8240302 3705172)
,Education,POINT (8251031 3709054)
,Education,POINT (8249984 3720832)
,Education,POINT (8250112 3720222)
,Education,POINT (8250112 3720221)
,Education,POINT (8252276 3667209)
,Education,POINT (8251796 3666746)
,Education,POINT (8252297 3670967)
,Education,POINT (8252298 3670967)
,Education,POINT (8252639 3671680)
,Education,POINT (8252615 3671643)
,Education,POINT (8239624 3708898)
,Education,POINT (8239624 3708897)
,Education,POINT (8253299 3677187)
,Education,POINT (8253084 3677133)
,Education,POINT (8253079 3677111)
,Education,POINT (8253576 3676734)
,Education,POINT (8252162 3679096)
,Education,POINT (8251793 3678959)
,Education,POINT (8251920 3678847)
,Education,POINT (8252315 3678734)
,Education,POINT (8252271 3678234)
,Education,POINT (8252565 3677951)
,Education,POINT (8252599 3677906)
,Education,POINT (8252640 3677904)
,Education,POINT (8251820 3677838)
,Education,POINT (8253523 3677587)
,Education,POINT (8253524 3677587)
,Education,POINT (8252575 3677299)
,Education,POINT (8253166 3679246)
,Education,POINT (8253157 3679230)
,Education,POINT (8253665 3682907)
,Education,POINT (8253658 3682849)
,Education,POINT (8253659 3682849)
,Education,POINT (8253441 3683787)
,Education,POINT (8253452 3683760)
,Education,POINT (8253453 3683760)
,Education,POINT (8253452 3683759)
,Education,POINT (8253453 3683759)
,Education,POINT (8252507 3683391)
,Education,POINT (8253376 3686170)
,Education,POINT (8253248 3686134)
,Education,POINT (8252969 3686091)
,Education,POINT (8253574 3685944)
,Education,POINT (8252952 3685848)
,Education,POINT (8253215 3685820)
,Education,POINT (8253344 3685705)
,Education,POINT (8239135 3709942)
,Education,POINT (8251830 3694841)
,Education,POINT (8252726 3697504)
,Education,POINT (8253501 3700943)
,Education,POINT (8252918 3704314)
,Education,POINT (8251837 3711878)
,Education,POINT (8238981 3711761)
,Education,POINT (8238969 3711753)
,Education,POINT (8238969 3711752)
,Education,POINT (8251926 3718878)
,Education,POINT (8251904 3719403)
,Education,POINT (8251904 3719402)
,Education,POINT (8252819 3725709)
,Education,POINT (8254679 3667374)
,Education,POINT (8254687 3666953)
,Education,POINT (8254537 3666846)
,Education,POINT (8254394 3675104)
,Education,POINT (8254476 3674618)
,Education,POINT (8253731 3673791)
,Education,POINT (8254924 3673747)
,Education,POINT (8255231 3673488)
,Education,POINT (8254065 3676583)
,Education,POINT (8254064 3676583)
,Education,POINT (8254014 3676579)
,Education,POINT (8254607 3676397)
,Education,POINT (8254607 3676396)
,Education,POINT (8253985 3679179)
,Education,POINT (8254463 3681003)
,Education,POINT (8254462 3681003)
,Education,POINT (8253958 3679611)
,Education,POINT (8253961 3679553)
,Education,POINT (8253962 3679553)
,Education,POINT (8253811 3679295)
,Education,POINT (8253879 3679260)
,Education,POINT (8255374 3679206)
,Education,POINT (8253759 3683001)
,Education,POINT (8253759 3683000)
,Education,POINT (8253946 3682972)
,Education,POINT (8254249 3682944)
,Education,POINT (8254379 3682885)
,Education,POINT (8253724 3682863)
,Education,POINT (8253723 3682863)
,Education,POINT (8254587 3682855)
,Education,POINT (8254858 3682830)
,Education,POINT (8254909 3682799)
,Education,POINT (8254910 3682799)
,Education,POINT (8254285 3682792)
,Education,POINT (8254601 3682775)
,Education,POINT (8254601 3682774)
,Education,POINT (8254875 3682765)
,Education,POINT (8253855 3682761)
,Education,POINT (8253856 3682761)
,Education,POINT (8253843 3682739)
,Education,POINT (8255048 3682738)
,Education,POINT (8255047 3682737)
,Education,POINT (8255048 3682737)
,Education,POINT (8254804 3682727)
,Education,POINT (8254094 3682715)
,Education,POINT (8253815 3682647)
,Education,POINT (8253895 3682581)
,Education,POINT (8254073 3682577)
,Education,POINT (8254074 3682577)
,Education,POINT (8254386 3681487)
,Education,POINT (8254496 3681369)
,Education,POINT (8254977 3681254)
,Education,POINT (8254536 3683983)
,Education,POINT (8254494 3683948)
,Education,POINT (8254938 3683853)
,Education,POINT (8254603 3683752)
,Education,POINT (8254607 3683718)
,Education,POINT (8254589 3683512)
,Education,POINT (8254686 3683371)
,Education,POINT (8253735 3683071)
,Education,POINT (8253814 3683028)
,Education,POINT (8254503 3686098)
,Education,POINT (8254521 3685963)
,Education,POINT (8254521 3685962)
,Education,POINT (8253944 3685958)
,Education,POINT (8253816 3685957)
,Education,POINT (8255277 3685107)
,Education,POINT (8254140 3687620)
,Education,POINT (8254749 3687301)
,Education,POINT (8254750 3687301)
,Education,POINT (8254904 3687227)
,Education,POINT (8238789 3715715)
,Education,POINT (8255123 3698278)
,Education,POINT (8254040 3700178)
,Education,POINT (8253975 3700109)
,Education,POINT (8253861 3699874)
,Education,POINT (8254404 3699681)
,Education,POINT (8254330 3699663)
,Education,POINT (8254277 3699555)
,Education,POINT (8254417 3699122)
,Education,POINT (8254418 3699122)
,Education,POINT (8254252 3701995)
,Education,POINT (8254148 3700391)
,Education,POINT (8253825 3707631)
,Education,POINT (8254390 3709472)
,Education,POINT (8255081 3715342)
,Education,POINT (8255082 3715342)
,Education,POINT (8255134 3718182)
,Education,POINT (8255060 3718157)
,Education,POINT (8255072 3718123)
,Education,POINT (8255076 3718076)
,Education,POINT (8253784 3717909)
,Education,POINT (8255589 3717904)
,Education,POINT (8255008 3717845)
,Education,POINT (8254937 3717701)
,Education,POINT (8255021 3717627)
,Education,POINT (8255022 3717627)
,Education,POINT (8254925 3717583)
,Education,POINT (8253923 3721069)
,Education,POINT (8253722 3719734)
,Education,POINT (8254652 3722583)
,Education,POINT (8254361 3722138)
,Education,POINT (8256005 3667604)
,Education,POINT (8256005 3667603)
,Education,POINT (8256187 3667533)
,Education,POINT (8256187 3667532)
,Education,POINT (8255700 3668824)
,Education,POINT (8255676 3668515)
,Education,POINT (8256920 3667962)
,Education,POINT (8256920 3667961)
,Education,POINT (8256810 3670055)
,Education,POINT (8256439 3670014)
,Education,POINT (8256841 3676437)
,Education,POINT (8256841 3676436)
,Education,POINT (8257104 3676207)
,Education,POINT (8257018 3677631)
,Education,POINT (8256567 3680904)
,Education,POINT (8256567 3680903)
,Education,POINT (8257098 3680545)
,Education,POINT (8257352 3679736)
,Education,POINT (8257353 3679736)
,Education,POINT (8257396 3679360)
,Education,POINT (8256534 3682633)
,Education,POINT (8256511 3682039)
,Education,POINT (8255617 3682033)
,Education,POINT (8255617 3682032)
,Education,POINT (8256176 3682019)
,Education,POINT (8255883 3682012)
,Education,POINT (8256118 3682005)
,Education,POINT (8256084 3681971)
,Education,POINT (8256939 3681911)
,Education,POINT (8256447 3681884)
,Education,POINT (8256448 3681884)
,Education,POINT (8256447 3681883)
,Education,POINT (8256448 3681883)
,Education,POINT (8256032 3681857)
,Education,POINT (8256583 3681815)
,Education,POINT (8257020 3681778)
,Education,POINT (8257057 3681681)
,Education,POINT (8256981 3681626)
,Education,POINT (8256981 3681625)
,Education,POINT (8255902 3681625)
,Education,POINT (8256662 3681451)
,Education,POINT (8256560 3681428)
,Education,POINT (8256837 3681304)
,Education,POINT (8256838 3681304)
,Education,POINT (8257286 3681277)
,Education,POINT (8257249 3684886)
,Education,POINT (8257296 3684866)
,Education,POINT (8256519 3684679)
,Education,POINT (8256519 3684678)
,Education,POINT (8256598 3684675)
,Education,POINT (8256559 3684638)
,Education,POINT (8256629 3684626)
,Education,POINT (8256547 3684612)
,Education,POINT (8256590 3684368)
,Education,POINT (8256593 3684328)
,Education,POINT (8256741 3684299)
,Education,POINT (8256741 3684298)
,Education,POINT (8257184 3684018)
,Education,POINT (8257184 3684017)
,Education,POINT (8257131 3683960)
,Education,POINT (8256485 3683920)
,Education,POINT (8256486 3683920)
,Education,POINT (8256485 3683919)
,Education,POINT (8256485 3683907)
,Education,POINT (8257010 3683897)
,Education,POINT (8257035 3683841)
,Education,POINT (8256010 3683439)
,Education,POINT (8255701 3686735)
,Education,POINT (8257237 3686357)
,Education,POINT (8255696 3686010)
,Education,POINT (8255984 3685962)
,Education,POINT (8255984 3685961)
,Education,POINT (8255923 3685926)
,Education,POINT (8255924 3685926)
,Education,POINT (8256454 3685901)
,Education,POINT (8255960 3685834)
,Education,POINT (8257389 3685785)
,Education,POINT (8256058 3685652)
,Education,POINT (8256612 3685636)
,Education,POINT (8255809 3685598)
,Education,POINT (8257311 3685400)
,Education,POINT (8255846 3685283)
,Education,POINT (8255847 3685283)
,Education,POINT (8255949 3684990)
,Education,POINT (8255950 3684990)
,Education,POINT (8238981 3721355)
,Education,POINT (8257278 3688713)
,Education,POINT (8256963 3688598)
,Education,POINT (8257040 3688593)
,Education,POINT (8257035 3688565)
,Education,POINT (8256785 3688552)
,Education,POINT (8256785 3688551)
,Education,POINT (8256916 3688517)
,Education,POINT (8257335 3688507)
,Education,POINT (8257434 3688406)
,Education,POINT (8256998 3688396)
,Education,POINT (8257125 3688327)
,Education,POINT (8257016 3688310)
,Education,POINT (8257176 3688276)
,Education,POINT (8257054 3688272)
,Education,POINT (8256619 3688244)
,Education,POINT (8256620 3688244)
,Education,POINT (8256533 3688208)
,Education,POINT (8257316 3688179)
,Education,POINT (8257316 3688178)
,Education,POINT (8257316 3688021)
,Education,POINT (8257249 3687933)
,Education,POINT (8256614 3687856)
,Education,POINT (8256069 3687784)
,Education,POINT (8255997 3687757)
,Education,POINT (8257266 3687728)
,Education,POINT (8257315 3687691)
,Education,POINT (8257316 3687691)
,Education,POINT (8257293 3687671)
,Education,POINT (8257292 3687671)
,Education,POINT (8257279 3687583)
,Education,POINT (8257264 3686906)
,Education,POINT (8257299 3686840)
,Education,POINT (8257278 3689745)
,Education,POINT (8257279 3689745)
,Education,POINT (8257204 3689692)
,Education,POINT (8257149 3689640)
,Education,POINT (8257149 3689639)
,Education,POINT (8257004 3689398)
,Education,POINT (8257005 3689350)
,Education,POINT (8257005 3689349)
,Education,POINT (8257406 3689271)
,Education,POINT (8257050 3689211)
,Education,POINT (8256962 3689173)
,Education,POINT (8256691 3689144)
,Education,POINT (8256692 3689144)
,Education,POINT (8256691 3689143)
,Education,POINT (8256692 3689143)
,Education,POINT (8256792 3688986)
,Education,POINT (8256969 3688966)
,Education,POINT (8257488 3688939)
,Education,POINT (8256732 3688932)
,Education,POINT (8257198 3688906)
,Education,POINT (8256749 3688872)
,Education,POINT (8256998 3688831)
,Education,POINT (8255598 3697814)
,Education,POINT (8255598 3697813)
,Education,POINT (8257144 3699011)
,Education,POINT (8256071 3702834)
,Education,POINT (8256249 3702737)
,Education,POINT (8257290 3705096)
,Education,POINT (8256290 3704893)
,Education,POINT (8256291 3704893)
,Education,POINT (8256290 3704892)
,Education,POINT (8256291 3704892)
,Education,POINT (8256210 3704890)
,Education,POINT (8257159 3704881)
,Education,POINT (8256390 3704877)
,Education,POINT (8256390 3704876)
,Education,POINT (8256391 3704876)
,Education,POINT (8256629 3704588)
,Education,POINT (8256856 3704307)
,Education,POINT (8239919 3725018)
,Education,POINT (8240148 3724988)
,Education,POINT (8239639 3724984)
,Education,POINT (8238449 3724915)
,Education,POINT (8239353 3724903)
,Education,POINT (8240241 3724899)
,Education,POINT (8240125 3724898)
,Education,POINT (8238456 3724889)
,Education,POINT (8239791 3724878)
,Education,POINT (8238664 3724863)
,Education,POINT (8238855 3724855)
,Education,POINT (8239674 3724844)
,Education,POINT (8240297 3724839)
