name,POI,geometry
,Food Points,POINT (8245694 3672167)
,Food Points,POINT (8244962 3672085)
,Food Points,POINT (8245775 3671968)
,Food Points,POINT (8245538 3671816)
,Food Points,POINT (8246040 3671761)
,Food Points,POINT (8245501 3671755)
,Food Points,POINT (8245387 3671648)
,Food Points,POINT (8245387 3671609)
,Food Points,POINT (8299023 3680535)
,Food Points,POINT (8299379 3688106)
,Food Points,POINT (8298833 3690505)
,Food Points,POINT (8298045 3691977)
,Food Points,POINT (8298947 3691092)
,Food Points,POINT (8298116 3701845)
,Food Points,POINT (8298107 3701760)
,Food Points,POINT (8298095 3701617)
,Food Points,POINT (8298200 3701579)
,Food Points,POINT (8298172 3701569)
,Food Points,POINT (8298423 3701336)
,Food Points,POINT (8299389 3707679)
,Food Points,POINT (8298553 3706466)
,Food Points,POINT (8301229 3683728)
,Food Points,POINT (8301026 3690439)
,Food Points,POINT (8246319 3672130)
,Food Points,POINT (8246119 3671641)
,Food Points,POINT (8247524 3673759)
,Food Points,POINT (8247015 3676369)
,Food Points,POINT (8249145 3675124)
,Food Points,POINT (8248767 3674866)
,Food Points,POINT (8248517 3674532)
,Food Points,POINT (8248526 3674482)
,Food Points,POINT (8248421 3674473)
,Food Points,POINT (8249758 3675760)
,Food Points,POINT (8249738 3675718)
,Food Points,POINT (8249841 3675673)
,Food Points,POINT (8249553 3675562)
,Food Points,POINT (8248551 3675516)
,Food Points,POINT (8250824 3676909)
,Food Points,POINT (8250533 3676645)
,Food Points,POINT (8250461 3676519)
,Food Points,POINT (8250524 3676457)
,Food Points,POINT (8250518 3676408)
,Food Points,POINT (8250611 3691213)
,Food Points,POINT (8251849 3678631)
,Food Points,POINT (8253382 3679347)
,Food Points,POINT (8253341 3679308)
,Food Points,POINT (8253173 3686123)
,Food Points,POINT (8253335 3685955)
,Food Points,POINT (8253118 3685892)
,Food Points,POINT (8253062 3685842)
,Food Points,POINT (8253679 3687251)
,Food Points,POINT (8255357 3673422)
,Food Points,POINT (8255517 3673290)
,Food Points,POINT (8255440 3673143)
,Food Points,POINT (8254243 3674642)
,Food Points,POINT (8254468 3677117)
,Food Points,POINT (8254465 3677096)
,Food Points,POINT (8255061 3676878)
,Food Points,POINT (8254229 3676755)
,Food Points,POINT (8254221 3677506)
,Food Points,POINT (8254213 3677492)
,Food Points,POINT (8253732 3679751)
,Food Points,POINT (8253791 3679292)
,Food Points,POINT (8254718 3682873)
,Food Points,POINT (8255232 3682845)
,Food Points,POINT (8254360 3682833)
,Food Points,POINT (8254170 3682790)
,Food Points,POINT (8254191 3682742)
,Food Points,POINT (8254150 3682678)
,Food Points,POINT (8254954 3682550)
,Food Points,POINT (8254188 3682095)
,Food Points,POINT (8254679 3684227)
,Food Points,POINT (8254701 3684192)
,Food Points,POINT (8254591 3683648)
,Food Points,POINT (8254378 3683593)
,Food Points,POINT (8254924 3683484)
,Food Points,POINT (8254599 3683172)
,Food Points,POINT (8255347 3685393)
,Food Points,POINT (8255284 3685369)
,Food Points,POINT (8255357 3685304)
,Food Points,POINT (8255245 3685298)
,Food Points,POINT (8255280 3685243)
,Food Points,POINT (8255231 3685168)
,Food Points,POINT (8255199 3685121)
,Food Points,POINT (8255189 3685100)
,Food Points,POINT (8255171 3685099)
,Food Points,POINT (8255106 3684946)
,Food Points,POINT (8255127 3687742)
,Food Points,POINT (8255967 3671371)
,Food Points,POINT (8256471 3669834)
,Food Points,POINT (8255654 3673192)
,Food Points,POINT (8255773 3673075)
,Food Points,POINT (8255965 3672903)
,Food Points,POINT (8255975 3672902)
,Food Points,POINT (8256082 3672822)
,Food Points,POINT (8256247 3672665)
,Food Points,POINT (8256871 3672151)
,Food Points,POINT (8256477 3678265)
,Food Points,POINT (8256450 3682803)
,Food Points,POINT (8256423 3682740)
,Food Points,POINT (8257023 3682641)
