name,POI,geometry
,Health Points,POINT (8244952.69589469 3671857.80348487)
,Health Points,POINT (8245463.67089469 3671789.10348487)
,Health Points,POINT (8245020.19589469 3671787.67848487)
,Health Points,POINT (8245138.17089469 3671779.87848487)
,Health Points,POINT (8244968.52089469 3671765.77848487)
,Health Points,POINT (8245202.07089469 3671758.57848487)
,Health Points,POINT (8299812.42089469 3690125.02848487)
,Health Points,POINT (8299805.29589469 3690100.20348487)
,Health Points,POINT (8244542.44589469 3674754.90348487)
,Health Points,POINT (8298174.42089469 3701248.95348487)
,Health Points,POINT (8299824.72089469 3706756.95348487)
,Health Points,POINT (8299435.32089469 3710069.47848487)
,Health Points,POINT (8301456.72089469 3688851.82848487)
,Health Points,POINT (8300895.42089469 3704384.70348487)
,Health Points,POINT (8249920.84589469 3675618.07848487)
,Health Points,POINT (8249530.62089469 3675543.22848487)
,Health Points,POINT (8250068.67089469 3675932.55348487)
,Health Points,POINT (8249954.59589469 3675674.62848487)
,Health Points,POINT (8251819.84589469 3678826.95348487)
,Health Points,POINT (8251819.84589469 3678624.52848487)
,Health Points,POINT (8252304.42089469 3679038.00348487)
,Health Points,POINT (8252588.97089469 3679018.35348487)
,Health Points,POINT (8252199.34589469 3678918.90348487)
,Health Points,POINT (8251958.97089469 3678571.72848487)
,Health Points,POINT (8252414.59589469 3677908.95348487)
,Health Points,POINT (8253020.44589469 3677585.85348487)
,Health Points,POINT (8253757.62089469 3685955.10348487)
,Health Points,POINT (8252940.12089469 3685923.75348487)
,Health Points,POINT (8254553.67089469 3672278.25348487)
,Health Points,POINT (8254249.09589469 3675644.02848487)
,Health Points,POINT (8254006.39589469 3683021.77848487)
,Health Points,POINT (8254412.14589469 3682787.40348487)
,Health Points,POINT (8254275.64589469 3682614.22848487)
,Health Points,POINT (8254505.59589469 3683797.12848487)
,Health Points,POINT (8254307.67089469 3683574.75348487)
,Health Points,POINT (8255396.29589469 3685513.50348487)
,Health Points,POINT (8255277.12089469 3685264.65348487)
,Health Points,POINT (8255504.59589469 3685050.07848487)
