name,POI,geometry
ahmad pharmacy,Pharmacies,POINT (8275938.694827826 3701209.8804709464)
abid pharmacy,Pharmacies,POINT (8277334.663506272 3684555.166150658)
hayat pharmacy,Pharmacies,POINT (8269598.482097746 3689810.4407155667)
aaa pharma plus,Pharmacies,POINT (8267167.231022974 3697720.3987889695)
self care pharmacy,Pharmacies,POINT (8269194.258762777 3687973.106414467)
aa pharmacy,Pharmacies,POINT (8270765.900729643 3694118.728004179)
ar pharmacy (canal bank),Pharmacies,POINT (8283942.788854845 3707445.8463545064)
axon pharmacy,Pharmacies,POINT (8268733.685501569 3691651.6266069496)
al qayyum pharmacy,Pharmacies,POINT (8269001.6092520105 3692009.089371162)
haq sons pharmacy,Pharmacies,POINT (8267578.133527389 3685022.8751505995)
wallgreen pharmacy,Pharmacies,POINT (8269298.965875817 3691258.642335371)
wall green pharmacy,Pharmacies,POINT (8276218.79693056 3708710.974798696)
prime life pharmacy,Pharmacies,POINT (8266421.624205589 3690850.9912663596)
pharma chem pharmacy,Pharmacies,POINT (8258424.2984036105 3688663.861741493)
al qayyum pharmacy,Pharmacies,POINT (8266634.133113514 3690780.24318369)
servaid pharmacy,Pharmacies,POINT (8276222.247834775 3700961.4531246726)
2bwell pharmacy,Pharmacies,POINT (8283669.466109098 3694905.167279034)
al aser pharmacy,Pharmacies,POINT (8289174.470963654 3708791.6798698422)
health aid pharmacy,Pharmacies,POINT (8273302.326459318 3700461.2836537138)
ashraf pharmacy,Pharmacies,POINT (8272263.325991999 3703005.347151914)
care pharmacy (g1 pharmacy),Pharmacies,POINT (8269025.498414735 3695116.9492419255)
"punjab pharmacy council, lahore",Pharmacies,POINT (8269346.577222029 3700860.257944127)
bliss pharmaceutiks,Pharmacies,POINT (8272162.782227914 3695781.6094997134)
pharmacy,Pharmacies,POINT (8270859.91003962 3691509.7040133243)
shabbir pharmacy,Pharmacies,POINT (8268857.962581091 3692147.363830391)
al ghani pharmacy,Pharmacies,POINT (8270886.448606224 3694447.091211457)
medicaments pharmacy,Pharmacies,POINT (8266673.384365967 3690764.1154965837)
iqbal pharmacy,Pharmacies,POINT (8270122.785767433 3691150.6639114576)
doctor pharmacy,Pharmacies,POINT (8266332.301446177 3690522.0722626247)
al raman pharmacy,Pharmacies,POINT (8266621.175524786 3690786.480272273)
abban pharmacy,Pharmacies,POINT (8267114.766146963 3691369.6360151055)
sajid brother medical store,Pharmacies,POINT (8266702.294037726 3690730.8163264357)
life aid pharmacy,Pharmacies,POINT (8267437.069468657 3691672.857721406)
moon pharmacy,Pharmacies,POINT (8269440.942754376 3691417.3821367878)
salt pharmacy,Pharmacies,POINT (8269605.706732699 3688576.871048671)
aurura pharmacy,Pharmacies,POINT (8270137.658051402 3693280.265876683)
green plus pharmacie,Pharmacies,POINT (8268453.572266887 3690262.4845884102)
family pharmacy,Pharmacies,POINT (8268710.931797652 3693407.1480497033)
trust pharmacy,Pharmacies,POINT (8269601.343008659 3691586.746011214)
icare pharmacy,Pharmacies,POINT (8267181.368598305 3692448.9213707317)
medica pharmacy,Pharmacies,POINT (8269938.852572797 3691958.313440629)
saeed sons pharmacy,Pharmacies,POINT (8267429.355027945 3690146.764671395)
oxygen pharmacy,Pharmacies,POINT (8268898.560799383 3692405.3211294822)
huda pharmacy,Pharmacies,POINT (8269924.080476368 3689613.820023933)
aziz son's pharma plus,Pharmacies,POINT (8269418.957154944 3689822.378968188)
pharmed pharmacy,Pharmacies,POINT (8267956.942622609 3692735.961262639)
serve health pharmacy,Pharmacies,POINT (8267424.189803572 3690113.349754245)
care central pharmacy,Pharmacies,POINT (8268732.483251069 3690739.271593023)
medx pharmacy,Pharmacies,POINT (8268955.9237329895 3690895.786418611)
abdullah pharmacy,Pharmacies,POINT (8272247.095610242 3693152.1582429493)
abdullah pharmacy.,Pharmacies,POINT (8267136.3732601255 3699223.1778514823)
abdullah pharmacy,Pharmacies,POINT (8270044.4836376095 3690513.043033615)
abdullah medical store,Pharmacies,POINT (8279374.9160015825 3708964.7219174807)
abdullah pharmacy,Pharmacies,POINT (8268042.814477809 3701598.744787861)
abdullah pharmacy,Pharmacies,POINT (8275302.659785231 3708641.560502126)
abdullah medical store,Pharmacies,POINT (8266316.9059606 3696905.5274916934)
abdullah haseeb medical store,Pharmacies,POINT (8277698.322018795 3694830.6104597296)
ghousia pharmacy,Pharmacies,POINT (8271337.2480161395 3704338.359013272)
madinah medical  26 general store  d9 85 d8 af db 8c d9 86 db 81  d9 85 db 8c da 88 db 8c da a9 d9 84  d8 a7 db 8c d9 86 da 88  d8 ac d9 86 d8 b1 d9 84  d8 b3 d9 b9 d9 88 d8 b1 e2 80 ad,Pharmacies,POINT (8272153.487050434 3710623.146658102)
aaa pharmacy,Pharmacies,POINT (8274832.8024784895 3709123.2871489204)
arslan medical and general store,Pharmacies,POINT (8277716.945769604 3700606.640313347)
al hameed pharmacy,Pharmacies,POINT (8275983.144700499 3701058.8619511225)
maksaa pharmacy,Pharmacies,POINT (8268112.467083198 3699321.787141588)
new ak pharmacy,Pharmacies,POINT (8272814.279547783 3704975.6573752533)
saad pharmacy,Pharmacies,POINT (8272031.358437084 3707769.929897753)
pharmex pharmacy 10 25 discount,Pharmacies,POINT (8266994.0401591975 3696813.5042537623)
clock pharmacy,Pharmacies,POINT (8270340.715934559 3706886.8117267885)
new mahmood pharmacy -alif meem 99 branch,Pharmacies,POINT (8282852.915380232 3704210.553259848)
cmax pharmacy,Pharmacies,POINT (8266026.2062423425 3696878.960916127)
the mansoorah pharmacy,Pharmacies,POINT (8267670.116822632 3697514.1985853524)
fazal din pharma plus,Pharmacies,POINT (8266707.904540064 3696283.963097073)
bajwa medicine company (pharmacy),Pharmacies,POINT (8266328.728090523 3697034.7580614295)
arham pharmacy,Pharmacies,POINT (8265664.484688959 3696901.859081504)
mansoorah pharmacy,Pharmacies,POINT (8266871.121177464 3697004.144170137)
az pharmacy,Pharmacies,POINT (8267114.688223319 3698879.1614517537)
ikram pharmacy,Pharmacies,POINT (8267064.449737123 3698564.910743288)
fazal din pharma plus,Pharmacies,POINT (8265204.712928084 3696382.5094840997)
zaid pharmacy,Pharmacies,POINT (8265329.145854894 3698189.9565698747)
bajwa medicine company(pharmacy),Pharmacies,POINT (8266309.592270055 3697035.123600893)
my chemist  2b pharmacy,Pharmacies,POINT (8268931.967778572 3694708.7126067285)
bajwa medicine co (pharmacy),Pharmacies,POINT (8266759.245089216 3697157.410220916)
new azeem pharmacy,Pharmacies,POINT (8268658.789748164 3699395.261504374)
aims pharmacy,Pharmacies,POINT (8260353.921588972 3690751.615248881)
